ApplNo	ApplType	ApplPublicNotes	SponsorName
007073	NDA		PFIZER
007085	NDA		WARNER CHILCOTT
007110	NDA		MERCK
007245	NDA		LILLY
007320	NDA		CONSOLIDATED MIDLAND
007335	NDA		APOTHECON
007336	NDA		3M
007337	NDA		ENDO PHARMS
007390	NDA		SHIRE
007392	NDA		LILLY
007409	NDA		ALLERGAN
007413	NDA		PHARMACIA AND UPJOHN
007504	NDA		SANOFI AVENTIS US
007513	NDA		HOSPIRA
007517	NDA		KING PHARMS
007529	NDA		LILLY
007600	NDA		PARKEDALE
007638	NDA		BAYER HEALTHCARE LLC
007707	NDA		ABBVIE
007750	NDA		MERCK
007757	NDA		ROCHE
007794	NDA		TEVA
007842	NDA		DAVIS AND GECK
007865	NDA		LILLY
007883	NDA		TEVA WOMENS
007898	NDA		MERCK
007935	NDA		DELCOR ASSET CORP
007936	NDA		CHATTEM
007942	NDA		FOREST LABS
007953	NDA		ALLERGAN
007959	NDA		TELIGENT
007961	NDA		APTALIS PHARMA US
007984	NDA		PARKE DAVIS
008032	NDA		GE HEALTHCARE
008041	NDA		PARKE DAVIS
008048	NDA		ASTRAZENECA
008085	NDA		STRIDES PHARMA
008102	NDA		SANOFI AVENTIS US
008107	NDA		HOSPIRA
008114	NDA		SCHERING
008126	NDA		PHARMACIA AND UPJOHN
008173	NDA		VALEANT PHARM INTL
008228	NDA		MERCK
008248	NDA		BAXTER HLTHCARE CORP
008278	NDA		NOVARTIS
008284	NDA		PANRAY
008303	NDA		NOVARTIS
008306	NDA		ANI PHARMS
008316	NDA		SANOFI AVENTIS US
008317	NDA		PARKEDALE
008319	NDA		NOVARTIS
008322	NDA		ABBVIE
008370	NDA		ALLERGAN
008372	NDA		MALLINCKRODT ARD
008378	NDA		INTL MINERALS
008381	NDA		ANI PHARMS
008392	NDA		BRISTOL MYERS SQUIBB
008402	NDA		SANOFI AVENTIS US
008414	NDA		ROCHE
008420	NDA		ROCHE
008428	NDA		PANRAY
008453	NDA		SANDOZ INC
008472	NDA		MERCK
008492	NDA		NOVARTIS
008499	NDA		LILLY
008506	NDA		MERCK
008565	NDA		WYETH AYERST
008578	NDA		VYERA PHARMS LLC
008592	NDA		EASTMAN KODAK
008604	NDA		ANI PHARMS
008662	NDA		SANDOZ
008678	NDA		SANDOZ
008693	NDA		PROCTER AND GAMBLE
008697	NDA		PHARMACIA AND UPJOHN
008708	NDA		CONCORDIA
008719	NDA		VALEANT PHARM INTL
008720	NDA		VALEANT PHARM INTL
008732	NDA		SHIRE
008762	NDA		VIATRIS
008767	NDA		SANOFI AVENTIS US
008794	NDA		SCHERING PLOUGH
008809	NDA		HOSPIRA
008814	NDA		MEDPOINTE PHARM HLC
008816	NDA		AKORN
008822	NDA		NOVARTIS
008826	NDA		SCHERING PLOUGH
008842	NDA		APOTHECON
008843	NDA		GD SEARLE LLC
008845	NDA		HOSPIRA
008847	NDA		APOTHECON
008848	NDA		FOUGERA PHARMS
008855	NDA		PARKE DAVIS
008857	NDA		WYETH AYERST
008867	NDA		3M
008869	NDA		LILLY
008883	NDA		APOTHECON
008915	NDA		ORTHO MCNEIL PHARM
008917	NDA		PHARMACIA AND UPJOHN
008922	NDA		BAUSCH
008943	NDA		TEVA BRANDED PHARM
008951	NDA		LILLY
008955	NDA		MCNEIL
008975	NDA		ANI PHARMS
008983	NDA		ROCHE
009000	NDA		NOVARTIS
009008	NDA		ORTHO MCNEIL PHARM
009018	NDA		MERCK
009048	NDA		VALEANT PHARM INTL
009052	NDA		BRISTOL MYERS SQUIBB
009053	NDA		STASON PHARMS
009078	NDA		PARKE DAVIS
009087	NDA		NOVARTIS
009088	NDA		TEVA
009102	NDA		GLAXOSMITHKLINE
009108	NDA		PAL PAK
009112	NDA		JOURNEY
009115	NDA		NOVARTIS
009127	NDA		PFIZER
009149	NDA		GLAXOSMITHKLINE
009164	NDA		PFIZER
009165	NDA		ENDO PHARMS
009166	NDA		SANOFI AVENTIS US
009170	NDA		VALEANT
009175	NDA		CASPER PHARMA LLC
009176	NDA		PFIZER GLOBAL
009182	NDA		ROCHE
009190	NDA		GUERBET
009193	NDA		MERCK
009215	NDA		NOVARTIS
009217	NDA		MEDPOINTE PHARM HLC
009218	NDA		BRISTOL MYERS SQUIBB
009238	NDA		LILLY
009255	NDA		FOREST PHARMS
009268	NDA		PARKE DAVIS
009273	NDA		IMPAX LABS
009276	NDA		BOWMAN PHARMS
009278	NDA		PANRAY
009282	NDA		NOVARTIS
009296	NDA		NOVARTIS
009309	NDA		GLAXOSMITHKLINE
009319	NDA		FOREST LABS
009321	NDA		BRACCO
009330	NDA		COVIS
009344	NDA		LILLY
009357	NDA		BRISTOL MYERS SQUIBB
009372	NDA		WYETH AYERST
009376	NDA		LILLY
009378	NDA		PHARMACIA AND UPJOHN
009386	NDA		ASPEN GLOBAL
009388	NDA		TEVA WOMENS
009391	NDA		PANRAY
009395	NDA		GLENWOOD
009402	NDA		PAR STERILE PRODUCTS
009410	NDA		SANOFI AVENTIS US
009434	NDA		NOVARTIS
009435	NDA		FRESENIUS KABI USA
009436	NDA		NOVARTIS
009452	NDA		BLULINE
009453	NDA		VALE
009458	NDA		IMPAX LABS
009470	NDA		FRESENIUS KABI USA
009477	NDA		BUNDY
009486	NDA		MCNEIL CONS
009489	NDA		LEDERLE
009495	NDA		GLAXOSMITHKLINE
009509	NDA		MERCK
009519	NDA		SANOFI AVENTIS US
009561	NDA		GE HEALTHCARE
009585	NDA		BAYER PHARMS
009627	NDA		IMPAX LABS
009631	NDA		BOWMAN PHARMS
009637	NDA		AKORN
009645	NDA		VITARINE
009659	NDA		PANRAY
009660	NDA		ROCHE
009663	NDA		BUNDY
009667	NDA		VALEANT PHARM INTL
009668	NDA		VALEANT PHARM INTL
009698	NDA		MEDPOINTE PHARM HLC
009729	NDA		LEDERLE
009750	NDA		DISTA
009766	NDA		SCHERING
009768	NDA		CONCORDIA
009789	NDA		MEDPOINTE PHARM HLC
009796	NDA		PFIPHARMECS
009818	NDA		MONARCH PHARMS
009829	NDA		BAUSCH
009830	NDA		BAUSCH
009838	NDA		SANDOZ
009854	NDA		ANI PHARMS
009859	NDA		CYCLE PHARMS LTD
009864	NDA		PHARMACIA AND UPJOHN
009866	NDA		PHARMACIA AND UPJOHN
009895	NDA		BAYER PHARMS
009900	NDA		PHARMACIA AND UPJOHN
009925	NDA		ASTRAZENECA
009926	NDA		FERNDALE LABS
009986	NDA		PHARMACIA AND UPJOHN
009987	NDA		PHARMACIA AND UPJOHN
009996	NDA		PFIZER
010010	NDA		BAYER PHARMS
010012	NDA		LILLY
010021	NDA		ABBVIE
010028	NDA		WYETH AYERST
010040	NDA		BRACCO
010060	NDA		CASPER PHARMA LLC
010093	NDA		UCB INC
010104	NDA		BAUSCH
010124	NDA		LANNETT
010151	NDA		PARKE DAVIS
010155	NDA		SANOFI AVENTIS US
010187	NDA		NOVARTIS
010209	NDA		SCHERING
010210	NDA		SCHERING
010220	NDA		GE HEALTHCARE
010251	NDA		TARGACEPT
010255	NDA		SCHERING
010347	NDA		BRISTOL MYERS SQUIBB
010348	NDA		WYETH AYERST
010349	NDA		BAXTER HLTHCARE CORP
010355	NDA		ROCHE
010374	NDA		3M
010375	NDA		3M
010379	NDA		KING PHARMS
010392	NDA		PFIZER
010401	NDA		NURO PHARMA
010402	NDA		WYETH PHARMS
010417	NDA		FRESENIUS KABI USA
010418	NDA		ASTRAZENECA
010423	NDA		ROCHE
010441	NDA		EVERYLIFE
010460	NDA		BOEHRINGER INGELHEIM
010485	NDA		ROERIG
010496	NDA		ASTRAZENECA
010515	NDA		BAUSCH
010520	NDA		MERCK
010533	NDA		NOVARTIS
010554	NDA		PFIZER
010562	NDA		MERCK
010571	NDA		GLAXOSMITHKLINE
010581	NDA		PHYS PRODS VA
010585	NDA		MERCK
010596	NDA		PARKE DAVIS
010598	NDA		SANOFI AVENTIS US
010599	NDA		ABBVIE
010611	NDA		PHARMACIA AND UPJOHN
010653	NDA		3M
010656	NDA		MERCK
010669	NDA		ASPEN GLOBAL INC
010670	NDA		PHARMACIA AND UPJOHN
010679	NDA		SANOFI AVENTIS US
010686	NDA		PFIZER
010718	NDA		REED AND CARNRICK
010721	NDA		CASPER PHARMA LLC
010742	NDA		GLAXOSMITHKLINE
010744	NDA		GLAXOSMITHKLINE
010753	NDA		WYETH AYERST
010775	NDA		SCHERING
010787	NDA		SANOFI AVENTIS US
010791	NDA		BEL MAR
010796	NDA		ABBVIE
010799	NDA		WYETH CONS
010831	NDA		ORGANICS LAGRANGE
010841	NDA		RECORDATI RARE
010895	NDA		PARKE DAVIS
010909	NDA		SCHERING
010911	NDA		STUART PHARMS
010926	NDA		MYLAN
010927	NDA		BRACCO
010929	NDA		BRACCO
010942	NDA		WYETH AYERST
010962	NDA		PARKE DAVIS
010971	NDA		WYETH AYERST
010976	NDA		GD SEARLE LLC
010996	NDA		XANODYNE PHARM
010997	NDA		XANODYNE PHARM
011000	NDA		GLAXOSMITHKLINE
011011	NDA		AUXILIUM PHARMS LLC
011028	NDA		MERCK
011045	NDA		MEDPOINTE PHARM HLC
011047	NDA		PHARMACIA AND UPJOHN
011073	NDA		MEDPOINTE PHARM HLC
011110	NDA		GLAXOSMITHKLINE
011111	NDA		PFIZER
011120	NDA		GLAXOSMITHKLINE
011123	NDA		BRISTOL MYERS SQUIBB
011127	NDA		GLAXOSMITHKLINE
011145	NDA		AKORN
011153	NDA		PFIZER
011161	NDA		ASTELLAS
011178	NDA		SANOFI AVENTIS US
011185	NDA		IVAX SUB TEVA PHARMS
011188	NDA		GLAXOSMITHKLINE
011208	NDA		ARMOUR PHARM
011210	NDA		PFIZER
011213	NDA		SCHERING
011228	NDA		ORGANON USA INC
011245	NDA		BRACCO
011265	NDA		ANI PHARMS
011270	NDA		SHIRE
011276	NDA		GLAXOSMITHKLINE
011283	NDA		DELCOR ASSET CORP
011284	NDA		MEDPOINTE PHARM HLC
011287	NDA		CONCORDIA
011294	NDA		SCHERING
011300	NDA		ORTHO MCNEIL PHARM
011316	NDA		ALLERGAN HERBERT
011323	NDA		SHIRE
011324	NDA		BRACCO
011325	NDA		APOTHECON
011338	NDA		WYETH AYERST
011340	NDA		PHARM RES ASSOC
011359	NDA		BRISTOL MYERS SQUIBB
011361	NDA		SCHERING
011366	NDA		XERIS
011386	NDA		GE HEALTHCARE
011418	NDA		WYETH AYERST
011444	NDA		SANOFI AVENTIS US
011446	NDA		PFIZER
011459	NDA		PFIZER
011467	NDA		SANOFI AVENTIS US
011483	NDA		SUN PHARM INDUSTRIES
011491	NDA		APOTHECON
011496	NDA		GLAXOSMITHKLINE
011521	NDA		IVAX SUB TEVA PHARMS
011522	NDA		TEVA WOMENS
011525	NDA		AKORN
011529	NDA		JANSSEN R AND D
011552	NDA		GLAXOSMITHKLINE
011556	NDA		NOVARTIS
011557	NDA		SCHERING
011559	NDA		PAR STERILE PRODUCTS
011583	NDA		MERCK
011600	NDA		MYLAN
011601	NDA		MYLAN
011602	NDA		DELCOR ASSET CORP
011612	NDA		PFIZER
011613	NDA		UCB INC
011620	NDA		BRACCO
011635	NDA		MERCK
011641	NDA		PFIZER
011642	NDA		PHARM RES ASSOC
011657	NDA		FOREST LABS
011664	NDA		MERCK
011665	NDA		BAUSCH
011673	NDA		3M
011679	NDA		ABBOTT
011683	NDA		IMMUNEX
011685	NDA		FOSUN PHARMA
011689	NDA		MYLAN
011695	NDA		PHARM RES ASSOC
011702	NDA		SUN PHARM INDUSTRIES
011707	NDA		ENDO PHARMS
011719	NDA		HOSPIRA
011721	NDA		LEDERLE
011722	NDA		NOSTRUM LABS INC
011730	NDA		HIKMA
011738	NDA		ENDO PHARMS
011745	NDA		ROCHE
011748	NDA		PHARMACIA AND UPJOHN
011751	NDA		APOTHECON
011752	NDA		BOEHRINGER INGELHEIM
011757	NDA		PFIZER
011771	NDA		PHARM RES ASSOC
011777	NDA		MALLINCKRODT
011790	NDA		HIKMA
011792	NDA		MYLAN SPECIALITY LP
011793	NDA		NOVARTIS
011795	NDA		PFIZER
011808	NDA		NOVARTIS
011814	NDA		SCHERING
011835	NDA		MERCK
011836	NDA		SANOFI AVENTIS US
011838	NDA		NOVARTIS
011839	NDA		PFIZER
011856	NDA		PHARMACIA AND UPJOHN
011860	NDA		MERCK
011870	NDA		SALIX PHARMS
011878	NDA		NOVARTIS
011891	NDA		ORGANON USA INC
011909	NDA		PARKE DAVIS
011914	NDA		CHESEBROUGH PONDS
011945	NDA		GLAXOSMITHKLINE
011949	NDA		SHIRE LLC
011950	NDA		WESTWOOD SQUIBB
011958	NDA		MERCK
011960	NDA		ASTELLAS
011961	NDA		VALIDUS PHARMS INC
011963	NDA		FERA PHARMS LLC
011964	NDA		PARKE DAVIS
011971	NDA		ABBVIE
011977	NDA		MERCK
011983	NDA		MERCK
011984	NDA		MERCK
012003	NDA		ABBVIE
012015	NDA		AKORN
012026	NDA		NOVARTIS
012034	NDA		SCHERING
012041	NDA		APOTHECON
012052	NDA		MERCK
012071	NDA		MERCK
012093	NDA		BAUSCH
012095	NDA		PHARMACIA AND UPJOHN
012097	NDA		DELCOR ASSET CORP
012102	NDA		3M
012104	NDA		SUN PHARM INDS INC
012111	NDA		ALCON
012122	NDA		LILLY
012125	NDA		EASTMAN KODAK
012126	NDA		3M
012128	NDA		PFIZER
012141	NDA		BAXTER HLTHCARE
012142	NDA		BAXTER HLTHCARE
012145	NDA		APOTHECON
012148	NDA		ABBVIE
012151	NDA		PFIZER
012154	NDA		HOSPIRA
012155	NDA		SCHERING
012157	NDA		BAUSCH
012164	NDA		APOTHECON
012179	NDA		AKORN
012184	NDA		PARKE DAVIS
012193	NDA		NOVARTIS
012209	NDA		SPECTRUM PHARMS
012223	NDA		TELIGENT
012248	NDA		WYETH AYERST
012249	NDA		VALEANT PHARM INTL
012250	NDA		HOSPIRA
012254	NDA		SCHERING
012259	NDA		PHARMACIA AND UPJOHN
012265	NDA		SCHERING
012281	NDA		ROBINS AH
012283	NDA		SANOFI AVENTIS US
012285	NDA		RTRX
012301	NDA		BAUSCH
012302	NDA		ABBVIE
012329	NDA		NOVARTIS
012339	NDA		SANOFI AVENTIS US
012342	NDA		CONCORDIA
012359	NDA		SHIRE
012365	NDA		MEDA PHARMS
012366	NDA		MEDA PHARMS
012376	NDA		MERCK
012380	NDA		PARKE DAVIS
012382	NDA		WEST-WARD PHARMS INT
012383	NDA		MERCK
012394	NDA		SCHERING
012402	NDA		PROCTER AND GAMBLE
012418	NDA		ABBVIE
012419	NDA		SCHERING
012421	NDA		PHARMACIA AND UPJOHN
012427	NDA		PFIZER
012429	NDA		ASPEN GLOBAL INC
012455	NDA		WYETH AYERST
012462	NDA		PFIZER
012470	NDA		SCHERING
012485	NDA		PARKE DAVIS
012486	NDA		ROCHE
012487	NDA		ROCHE
012489	NDA		AH ROBINS INC
012515	NDA		DELCOR ASSET CORP
012516	NDA		NOVARTIS
012524	NDA		ABBVIE
012541	NDA		PFIZER
012542	NDA		NOVARTIS
012546	NDA		NOSTRUM LABS INC
012575	NDA		GLAXOSMITHKLINE
012583	NDA		ALLERGAN
012594	NDA		SANOFI AVENTIS US
012616	NDA		PFIZER
012623	NDA		PFIZER
012649	NDA		MERCK
012657	NDA		SCHERING
012665	NDA		LILLY
012674	NDA		ASPEN GLOBAL INC
012675	NDA		ASPEN GLOBAL INC
012678	NDA		SANDOZ
012697	NDA		VALEANT PHARM INTL
012699	NDA		GD SEARLE LLC
012703	NDA		ASTRAZENECA
012704	NDA		ASTRAZENECA
012708	NDA		MEDPOINTE PHARM HLC
012715	NDA		ROCHE
012728	NDA		ORTHO MCNEIL PHARM
012731	NDA		MERCK
012737	NDA		SANDOZ
012750	NDA		BAUSCH
012753	NDA		NOVARTIS
012754	NDA		NOVARTIS
012768	NDA		WYETH AYERST
012770	NDA		AKORN
012772	NDA		LILLY
012775	NDA		ABBOTT
012787	NDA		MEDIMETRIKS PHARMS
012796	NDA		WYETH PHARMS INC
012802	NDA		FOSUN PHARMA
012806	NDA		ALMIRALL
012813	NDA		ALLERGAN
012827	NDA		CASPER PHARMA LLC
012828	NDA		ABBOTT
012836	NDA		BOEHRINGER INGELHEIM
012845	NDA		PFIZER
012882	NDA		WYETH AYERST
012885	NDA		LUNDBECK INC
012892	NDA		SHIRE
012911	NDA		HRA PHARMA
012928	NDA		LILLY
012936	NDA		LILLY
012940	NDA		BIOVAIL
012945	NDA		TEVA BRANDED PHARM
012947	NDA		LEDERLE
012967	NDA		BRACCO
012968	NDA		BRACCO
012972	NDA		SANOFI AVENTIS US
013025	NDA		HOSPIRA
013026	NDA		WYETH PHARMS
013055	NDA		TELIGENT
013056	NDA		ABBOTT
013077	NDA		ASTRAZENECA
013092	NDA		PURDUE FREDERICK
013093	NDA		PHARM RES ASSOC
013132	NDA		ASPEN GLOBAL INC
013157	NDA		LILLY
013174	NDA		CONCORDIA
013217	NDA		KING PHARMS
013220	NDA		MERCK
013247	NDA		NOVARTIS
013263	NDA		ROCHE
013264	NDA		LEDERLE
013294	NDA		ROCHE
013295	NDA		LIEBEL-FLARSHEIM
013296	NDA		3M
013319	NDA		MALLINCKRODT
013334	NDA		MERCK
013378	NDA		LILLY
013400	NDA		MERCK
013401	NDA		MERCK
013402	NDA		MERCK
013413	NDA		UCB INC
013416	NDA		BAUSCH
013420	NDA		NOVARTIS
013422	NDA		NOVARTIS
013428	NDA		ENDO PHARMS
013448	NDA		ABBOTT
013483	NDA		SCHERING PLOUGH
013538	NDA		MERCK
013553	NDA		NOVARTIS
013601	NDA		APOTHECON
013615	NDA		DOW PHARM
013621	NDA		SANOFI AVENTIS US
013625	NDA		ACTAVIS LABS UT INC
013636	NDA		PFIZER
013664	NDA		ROCHE
013684	NDA		BAXTER HLTHCARE
013718	NDA		GEMINI LABS LLC
013731	NDA		GE HEALTHCARE
013790	NDA		ALMIRALL
013927	NDA		LEDERLE
013934	NDA		GLAXOSMITHKLINE
013935	NDA		ALLERGAN
013960	NDA		MEDIMETRIKS PHARMS
013993	NDA		BRACCO
014005	NDA		ORGANON USA INC
014006	NDA		ORGANON USA INC
014103	NDA		LILLY
014122	NDA		WYETH AYERST
014127	NDA		ASTRAZENECA
014134	NDA		BAXTER HLTHCARE CORP
014169	NDA		ALCON
014173	NDA		WYETH AYERST
014214	NDA		SANOFI AVENTIS US
014215	NDA		MERCK SHARP DOHME
014217	NDA		PAMLAB LLC
014242	NDA		UCB INC
014295	NDA		MALLINCKRODT
014322	NDA		IMPAX LABS
014349	NDA		PERSONAL PRODS
014359	NDA		HALSEY
014368	NDA		MK LABS
014394	NDA		ASTRAZENECA
014399	NDA		VALIDUS PHARMS
014474	NDA		STANLABS PHARM
014547	NDA		SANDOZ
014601	NDA		PVT FORM
014602	NDA		ORGANON
014684	NDA		LILLY
014685	NDA		RANBAXY
014691	NDA		APOTEX
014694	NDA		ASPEN GLOBAL INC
014696	NDA		PARKE DAVIS
014713	NDA		SCHERING
014715	NDA		NEW RIVER
014738	NDA		B BRAUN
014740	NDA		ROCHE
014762	NDA		SCHERING
014763	NDA		ASTRAZENECA
014764	NDA		ROBINS AH
014860	NDA		SANOFI AVENTIS US
014879	NDA		HIKMA
014882	NDA		LANNETT
014901	NDA		APOTHECON
015034	NDA		AVION PHARMS
015072	NDA		MALLARD
015103	NDA		SANOFI AVENTIS US
015139	NDA		VALEANT PHARM INTL
015193	NDA		BAUSCH
015197	NDA		AKORN
015229	NDA		AKORN
015230	NDA		AKORN
015296	NDA		MEDIMETRIKS PHARMS
015417	NDA		WEST WARD
015419	NDA		BRACCO
015426	NDA		ELKINS SINN
015438	NDA		IVAX SUB TEVA PHARMS
015500	NDA		PHARMACIA AND UPJOHN
015539	NDA		ALPHARMA US PHARMS
015865	NDA		IMMUNEX
015868	NDA		GLAXOSMITHKLINE
015874	NDA		BOEHRINGER INGELHEIM
015921	NDA		ORTHO MCNEIL
015922	NDA		ORTHO MCNEIL
015923	NDA		JANSSEN PHARMS
016000	NDA		BAYER HLTHCARE
016001	NDA		SOLVAY
016008	NDA		SCHERING
016012	NDA		TEVA WOMENS
016016	NDA		MERCK
016020	NDA		ENDO PHARMS
016023	NDA		ENDO PHARMS
016029	NDA		GD SEARLE LLC
016030	NDA		BAYER
016033	NDA		GLAXOSMITHKLINE
016042	NDA		GLAXOSMITHKLINE LLC
016047	NDA		ABBOTT
016049	NDA		AKORN
016053	NDA		SCHERING
016059	NDA		EGALET
016069	NDA		TEVA
016080	NDA		B BRAUN
016084	NDA		CASPER PHARMA LLC
016087	NDA		ROCHE
016092	NDA		BAUSCH
016093	NDA		BAUSCH
016096	NDA		MERCK SHARP DOHME
016097	NDA		MERCK SHARP DOHME
016099	NDA		WYETH AYERST
016110	NDA		APOTHECON
016118	NDA		BRISTOL MYERS SQUIBB
016119	NDA		BRISTOL MYERS SQUIBB
016126	NDA		WYETH CONS
016131	NDA		SANOFI AVENTIS US
016144	NDA		ALLERGAN
016149	NDA		ROCHE
016151	NDA		ALVOGEN
016161	NDA		MEDIMETRIKS PHARMS
016191	NDA		ASTRAZENECA
016192	NDA		ASTRAZENECA
016194	NDA		HOSPIRA
016199	NDA		ANI PHARMS
016211	NDA		NOVARTIS
016224	NDA		BRACCO
016235	NDA		SANOFI AVENTIS US
016245	NDA		ABBOTT
016249	NDA		SOLVAY
016267	NDA		NOVARTIS
016269	NDA		HOSPIRA
016273	NDA		VALIDUS PHARMS
016295	NDA	Medication Guide is for DROXIA.	BRISTOL MYERS SQUIBB
016297	NDA		FRESENIUS KABI USA
016320	NDA		STI PHARMA LLC
016322	NDA		SCHERING
016324	NDA		SEBELA IRELAND LTD
016363	NDA		SANOFI AVENTIS US
016366	NDA		ICU MEDICAL INC
016367	NDA		ICU MEDICAL INC
016379	NDA		NOVARTIS
016401	NDA		POLYMEDICA
016402	NDA		BOEHRINGER INGELHEIM
016403	NDA		GE HEALTHCARE
016418	NDA		WYETH PHARMS
016419	NDA		BAXTER HLTHCARE CORP
016455	NDA		ALMIRALL
016466	NDA		SANDOZ INC
016472	NDA		MILES
016515	NDA		CURIUM
016517	NDA		CURIUM
016584	NDA		PFIZER
016608	NDA		NOVARTIS
016619	NDA		AKORN
016620	NDA		ALMATICA
016624	NDA		ALLERGAN
016636	NDA		ADAPT
016640	NDA		BRISTOL MYERS
016647	NDA		BAYER HLTHCARE
016649	NDA		PHARMACIA AND UPJOHN
016659	NDA		ACTAVIS LABS UT INC
016666	NDA		MALLINCKRODT
016672	NDA		WYETH PHARMS
016673	NDA		BAXTER HLTHCARE
016675	NDA		MERCK
016677	NDA		BAXTER HLTHCARE
016678	NDA		BAXTER HLTHCARE
016679	NDA		BAXTER HLTHCARE
016680	NDA		PARKE DAVIS
016682	NDA		BAXTER HLTHCARE
016683	NDA		BAXTER HLTHCARE
016687	NDA		BAXTER HLTHCARE
016689	NDA		BAXTER HLTHCARE
016692	NDA		BAXTER HLTHCARE
016693	NDA		BAXTER HLTHCARE
016694	NDA		BAXTER HLTHCARE
016695	NDA		BAXTER HLTHCARE
016696	NDA		BAXTER HLTHCARE
016697	NDA		BAXTER HLTHCARE
016704	NDA		B BRAUN
016705	NDA		GD SEARLE LLC
016708	NDA		CURIUM
016709	NDA		ORTHO MCNEIL JANSSEN
016715	NDA		ORTHO MCNEIL PHARM
016717	NDA		BAXTER HLTHCARE
016721	NDA		VALEANT PHARM INTL
016723	NDA		PARKE DAVIS
016724	NDA		GD SEARLE LLC
016725	NDA		GD SEARLE LLC
016727	NDA		BRISTOL MYERS SQUIBB
016729	NDA		MALLINCKRODT
016730	NDA		B BRAUN
016732	NDA		SANOFI AVENTIS US
016733	NDA		B BRAUN
016734	NDA		B BRAUN
016740	NDA		SCHERING
016741	NDA		B BRAUN
016749	NDA		PARKE DAVIS
016750	NDA		AMPHASTAR PHARMS INC
016755	NDA		NOVARTIS
016758	NDA		PFIZER
016762	NDA		AKRIMAX PHARMS
016763	NDA		RISING
016765	NDA		ELORAC
016766	NDA		PARKE DAVIS
016768	NDA		PARKE DAVIS
016769	NDA		ORTHO MCNEIL JANSSEN
016772	NDA		B BRAUN
016774	NDA		NOVARTIS
016775	NDA		NOVARTIS
